gtin14,reason,source_sha256,product_name
00018374011102,fish_grade,2657363cde1f87f76d1322f90eec76fecbbc65a05f7b685b1dc3e86bf04863d8,Langostino Meat 60-90 ct
00021140019417,fish_grade,e91dee14296cd001dbdbe4ce26c93e1a4dcae98a80483ae4f44750b755118419,51/60 Easy-Peel Shrimp
00024732232263,fish_grade,c05ab2afdf3159b37af45b269d9e9391b2fc02f9a39e1fa6d655d2ce348b3c95,100/150 Cooked Peeled & Deveined Shrimp
00024732244938,fish_grade,e8787dace0a40ff15dee18a8a2a37d98e18295c918baf0bc9a0f9a3398d2c7be,16/20 Easy-Peel Shrimp
00024732245430,fish_grade,e8787dace0a40ff15dee18a8a2a37d98e18295c918baf0bc9a0f9a3398d2c7be,16/20 Easy-Peel Shrimp
00041498272425,fish_grade,73001fbcdda888a50db867d3616f7e295a6669bdfd8d21a942389921b069804e,41/60 Raw Peeled & Deveined Shrimp
00049029002589,fish_grade,544de6189f1765813aa9f0792a4fb19e489e30b38e51c2e77ecf921d2e35e141,26/30 Raw El Peelo Shrimp
00049029003821,fish_grade,c1dcd0c2ba2a7a0188f872f36be7f2e21b9274cf760d1c58b4cafe550b633963,16/20 Raw Peeled & Deveined Tail-On Shrimp
00049029005672,fish_grade,e47e592abcc1347e58449536ae5640ef93def762480bbd15e036754555f60f57,16/20 Raw Argentine Red Shrimp
00070038576525,fish_grade,97a60917cee2708cea92cd516727c7790965f6929481f8d026cce9c7ac220ccf,21/30 Cooked Peeled Tail-On Shrimp
00070038576532,fish_grade,3c55e11f5ac70145fb9d76bdfe5995fa2af7bb0af3466ea35d008de2309fb37a,31/40 Cooked Peeled Tail-On Shrimp
00070038576549,fish_grade,439a56121371bb781e53cd4d02e9e0a2e3440b3307e92a9266e8e5dc66e548c7,52/70 Cooked Peeled & Deveined Tail-Off Shrimp
00070038612742,fish_grade,7675d6aa381af9ab1ebf046270a217b15280310fed9ce549fc9d410b829921a3,41/50 Easy-Peel Shrimp
00070038627203,fish_grade,3c55e11f5ac70145fb9d76bdfe5995fa2af7bb0af3466ea35d008de2309fb37a,31/40 Cooked Peeled Tail-On Shrimp
00070038627210,fish_grade,e667d60309e07936ef910c5f81dc4d6f5c1f352348b7eb85ae4019f7f7201adf,41/50 Cooked Peeled Tail-On Shrimp
00070038640011,fish_grade,8ea9a0b7a576afa2c80ad84015ae6cae6deef9f161ac262e67fb7176c8977608,100/150 Cooked Peeled & Deveined Shrimp
00070366983309,fish_grade,b2000be3d4eac718a77a3d5532b2ba1c4e6b1948cfad941374958404a7ed8540,41/50 Cooked Peeled & Deveined Tail-On Shrimp
00070366984672,fish_grade,da829791dfab7cf411f85c46a672a453ad1162e40ec1add41c84e195ad3eda4d,41/50 Individually Quick Frozen Shell-On Shrimp
00070366984689,fish_grade,da829791dfab7cf411f85c46a672a453ad1162e40ec1add41c84e195ad3eda4d,41/50 Individually Quick Frozen Shell-On Shrimp
00070784031767,fish_grade,59cf1f94fc7a0d476c5a9cc95b298bd8f18dda5435fcf94f6d09510d7cc083a5,16/25 Domestic Shell-On Shrimp
00070784031774,fish_grade,e0802a0e79c163555a7fe41da7b4200b9258a655c70276cecaf5e07c07185baa,30/40 Domestic Peeled & Deveined Shrimp
00072431050015,fish_grade,0c969694bbf1240410e64f895b37b737ba0802ed76f75ada368ded9c95f39e49,41/50 Cooked Peeled & Deveined Shrimp
00072431050060,fish_grade,547fac2bc0ee0ca6c4ac79b457e8e5dc5d298f611c64bb4b9e4f33d46a12ac4c,26/35 Cooked Peeled Tail-On Shrimp
00072431050077,fish_grade,cf3ebaf3d0eb46e5bba5cd3ddf1e5a0e7c709de0ef4bff4cb2a7304baf481799,26/30 Peeled & Deveined Tail-On Shrimp
00072431050091,fish_grade,479695104dd69c230d6914946013848f926a1eacf1e144bc29ee72363dc1c81e,41/50 Peeled & Deveined Shrimp
00075391000328,fish_grade,b4642318d3c88ab0229d3b8a3a6c48ae63910fc8e72125bd8a77e9c488d0e894,8/12 Shell-On Tiger Shrimp
00075391000670,fish_grade,e91dee14296cd001dbdbe4ce26c93e1a4dcae98a80483ae4f44750b755118419,51/60 Easy-Peel Shrimp
00075391000915,fish_grade,8257edc001522c28efdbc910c1c4c85e21c79b9bf6cc4f1801ff36feb75d7556,4/6 Oz. CO Vacuum-Packed Redfish
00075391000922,fish_grade,8fc2f62072d8110ba9a88727ca7bf302137d95e0348923084ef256ddbf965981,10/12 Oz. CO Vacuum-Packed Redfish
00075391001004,fish_grade,ba46cec61838dd6f03520cd9ca480526b4e027506de3e7713883bd53f1bbb15d,70/90 Cooked Peeled & Deveined Tail-On Shrimp
00075391001462,fish_grade,0ed7cf0a80cd27588d7c8704bc794f80a713900e379c106ed7e082120b7a6556,21/25 Peeled & Deveined Tail-On Shrimp
00075391001479,fish_grade,cf3ebaf3d0eb46e5bba5cd3ddf1e5a0e7c709de0ef4bff4cb2a7304baf481799,26/30 Peeled & Deveined Tail-On Shrimp
00075391001486,fish_grade,9a74d79315c327806be8779eb04195ace556aece016be76897cfff4aafbf18b3,40/50 Peeled & Deveined Tail-On Shrimp
00075391002193,fish_grade,9b867c39acb92d5f87d874f86844bdf0bbfd25d7ee1eb8f75956d58c1324a895,10/20 Count Individually Quick Frozen Scallops
00075391003312,fish_grade,fbb8ec1eeb22f3ab7192d44a0df60a517b3027867ae6a262987ce0a3ea31f8ca,31/40 Easy-Peel Shrimp
00075391003343,fish_grade,aa83410fb3a430250a801d232538630e7840cba8c721e7e9be59b0b03305f403,50/60 Cooked Peeled & Deveined Tail-On Shrimp
00075391003756,fish_grade,a4f6eef12fbd8c069bf33b4fa24192072d75dbd730bd554700c00a7e5bd2b15e,20/30 Count Individually Quick Frozen Scallops
00075391004012,fish_grade,5e1e5b1c3f7463c4769cdc42f3e7546c40e09e74782fa2cf4b194bfa0c0926fb,6/8 Head-On F/W Shrimp
00075391004050,fish_grade,b49a60f6ef4ae7d6f39fa94a8f51b70df15d30e79b28ee581da5421737e9c725,4/6 Block Shell-On Shrimp
00075391004494,fish_grade,4a94e17e1d0d319438072972858a6dc4bd2794e49bc722ca7ff8ce66832a1037,20/30 Count Block Scallops
00075391005354,fish_grade,29fcab1bbb3a0fd73a2fa02d5e4b9a4ca8d450253bb6333a01606b622dbfb600,30/40 Individually Quick Frozen Scallops
00075391006177,fish_grade,a20c813a1c240dfd8420b2ccfadf426054550172d6fc9c27fd4c6d00ad6ecbc7,30/40 Count Individually Quick Frozen Scallops
00075391006344,fish_grade,5bdec431e76cd412d4a2bf40fab36598f9bdfb1604cc63a3253750e6a40df34b,21/25 Domestic Shell-On White Shrimp
00075391006757,fish_grade,e27df4a76a00a7f9405044b2a21502a2aa0448f21f870553a6540cabd1579c96,16/20 Coconut Breaded Shrimp
00075391006962,fish_grade,479695104dd69c230d6914946013848f926a1eacf1e144bc29ee72363dc1c81e,41/50 Peeled & Deveined Shrimp
00075391006979,fish_grade,479695104dd69c230d6914946013848f926a1eacf1e144bc29ee72363dc1c81e,41/50 Peeled & Deveined Shrimp
00075391007228,fish_grade,5c9c8e65d7eb27b7b03a09f06cd0554c6af4a411ca6cb7e0e38bed8525a41a37,21/25 Easy-Peel Shrimp
00075391007303,fish_grade,cb8c642c1a89f12d73fd92de49e74664f4bf6da936047ea39bc68a611feb8a80,51/60 Easy Peel-and-Eat Shrimp
